bu_naam;parkeren_pct;auto_pct;voet_pct;fiets_pct
BU04980309Zuiderdijk;0.01;0.98;0.00;0.00
BU04980500Schellinkhout;0.05;0.79;0.10;0.07
BU05020111Redebuurt;0.14;0.36;0.43;0.06
BU05020551Beemster/Purmerhoek;0.19;0.43;0.33;0.05
BU05020555Amerikaansebuurt;0.11;0.34;0.46;0.09
BU05032204Aziëbuurt;0.17;0.33;0.42;0.08
BU05050700Admiraalsplein;0.15;0.30;0.50;0.05
BU05121300Hoog Dalem;0.15;0.55;0.24;0.05
BU05470009Elizabethhof;0.15;0.55;0.22;0.09
BU05181786Houtwijk;0.14;0.36;0.44;0.06
BU05181953Vruchtenbuurt;0.15;0.36;0.45;0.05
BU05300000De Vesting;0.12;0.30;0.59;0.00
BU05300001Glaciswijk;0.12;0.42;0.42;0.04
BU05183637Moerwijk-West;0.09;0.44;0.41;0.06
BU05230002Giessendam;0.09;0.68;0.19;0.05
BU05370501Strand;0.03;0.33;0.59;0.05
BU05300900Duinhoeck;0.07;0.87;0.02;0.05
BU05300901Buitengebied;0.00;0.91;0.02;0.07
BU05450006Kedichem;NULL;NULL;NULL;NULL
BU05690209in het Oosten;0.00;0.88;0.03;0.08
BU05880209Overige verspreide huizen Goudswaard;0.04;0.84;0.05;0.07
BU05890213Ruige weide;NULL;NULL;NULL;NULL
BU05970100Centrum;0.13;0.47;0.36;0.04
BU05971000Donkersloot;0.13;0.63;0.15;0.09
BU05990110Stadsdriehoek;0.06;0.33;0.55;0.06
BU05991283Oud IJsselmonde;0.15;0.47;0.32;0.06
BU06220101Indische Buurt;0.07;0.54;0.31;0.08
BU06540202Borssele;0.01;0.91;0.05;0.03
BU06320703Buitengebied Kamerik;0.02;0.81;0.05;0.13
BU01411909Nijrees;0.13;0.67;0.18;0.02
BU06540402Ellewoutsdijk;0.00;1.00;0.00;0.00
BU06541102Oudelande;0.00;0.96;0.02;0.01
BU06640889Wolphaartsdijk;0.01;0.88;0.03;0.08
BU06770828Buitengebied Kloosterzande;0.03;0.89;0.02;0.06
BU06770932Kruispolder;0.01;0.98;0.00;0.00
BU06780009Kapelle;0.01;0.89;0.01;0.09
BU07030000Yerseke - Kern;0.12;0.60;0.27;0.02
BU07070601Middelkoop;0.00;0.73;0.00;0.27
BU07170000Veere;0.18;0.51;0.26;0.04
BU07155800Buitengebied Sas van Gent;0.03;0.87;0.03;0.08
BU07160209Scherpenisse;0.01;0.96;0.01;0.02
BU07160609Oud-Vossemeer;0.00;0.93;0.01;0.06
BU07170509in het Noorden;0.15;0.76;0.03;0.07
BU07171109Zoutelande;0.05;0.69;0.14;0.11
BU07180302Westduin;0.18;0.31;0.12;0.39
BU07180800Sloegebied;0.07;0.88;0.00;0.05
BU07360404Vinkeveen Buitengebied;0.00;0.84;0.09;0.07
BU07360703Abcoude Buitengebied;0.01;0.89;0.02;0.08
BU07360802Baambrugge Buitengebied;0.00;0.94;0.00;0.05
BU07580506Hazeldonk;0.05;0.89;0.05;0.01
BU07580709Buitengebied Bavel;0.01;0.90;0.04;0.05
BU07660105Centrum;0.16;0.52;0.31;0.01
BU07700409Wintelre;0.01;0.88;0.03;0.07
BU07721337Koudenhoven;0.06;0.62;0.15;0.16
BU07771203Landelijk gebied 4 (Noord);0.00;0.79;0.01;0.20
BU07941500West;0.10;0.54;0.31;0.05
BU07941501Houtsdonk;0.07;0.65;0.18;0.10
BU07941709Geeneind;0.02;0.90;0.03;0.05
BU07942901Hoogeind;0.04;0.81;0.02;0.13
BU08280104Roofvogelbuurt;0.10;0.52;0.31;0.06
BU08280702Hoefeind;0.11;0.62;0.24;0.03
BU08556710Buitengebied Udenhout Noord;0.00;0.69;0.01;0.30
BU08580009Turfbergse Heide Nederheide;0.01;0.89;0.02;0.08
BU08610009ten zuiden van de E3-weg;0.06;0.82;0.04;0.09
BU08700196Spie Deen;0.05;0.48;0.23;0.24
BU08890000Reuver;0.09;0.62;0.26;0.03
BU08930662Well Buitengebied;0.03;0.55;0.35;0.07
BU09173903Schiffelerveld;0.26;0.42;0.27;0.05
BU09350105Sint Pieter;0.08;0.61;0.26;0.05
BU09350406Amby;0.06;0.67;0.24;0.03
BU09570900Maasplassen;0.08;0.82;0.02;0.07
BU09510003Vaesrade;0.06;0.73;0.11;0.10
BU09510301Haasdal;0.07;0.81;0.08;0.04
BU09620009Verspreide huizen;0.01;0.67;0.23;0.08
BU09650009Verspreide huizen;0.07;0.80;0.05;0.07
BU17060308Hugten;0.02;0.92;0.00;0.07
BU09952551Houtribhoogte Zuid;0.20;0.51;0.26;0.02
BU09952552Houtribhoogte Noord;0.07;0.71;0.13;0.09
BU09940007Plenkert;0.18;0.48;0.32;0.02
BU09940008Euverem;0.01;0.57;0.42;0.00
BU09940403Geulhem;0.14;0.65;0.22;0.00
BU09957887Larservaartbos;0.00;0.79;0.00;0.21
BU15810102Landelijk Gebied zuidzijde;0.00;0.88;0.07;0.05
BU15810302Overberg en De Haar;0.01;0.96;0.02;0.01
BU15810409in de Geldersche Vallei;0.01;0.86;0.09;0.04
BU15980200Zuidermeer en omgeving;0.03;0.92;0.05;0.00
BU16400501Haelen;0.01;0.90;0.03;0.06
BU16401201Haler;0.00;0.92;0.00;0.08
BU16510108Eemshavengebied;0.07;0.76;0.14;0.04
BU16400000Kern Heythuysen;0.11;0.60;0.25;0.05
BU16400201Roggel;0.01;0.92;0.02;0.04
BU16400300Kern Neer;0.09;0.69;0.18;0.04
BU16400801Baexem;0.00;0.92;0.00;0.08
BU16401401Neeritter;0.06;0.88;0.01;0.05
BU16550409ten noorden van Hoeven;0.01;0.92;0.06;0.01
BU16690101Montfort;0.06;0.64;0.28;0.02
BU16690109Buitengebied Montfort;0.01;0.83;0.13;0.03
BU16690409Buitengebied Posterholt;0.03;0.89;0.05;0.04
BU16690509Buitengebied Herkenbosch;0.06;0.60;0.29;0.05
BU16761009Kerkwerve;0.01;0.85;0.01;0.13
BU16760309Dreischor;0.01;0.94;0.03;0.03
BU16761208in het Kleigebied;0.01;0.95;0.01;0.03
BU16761509Serooskerke;0.00;0.80;0.06;0.14
BU16800509Schipborg;0.00;0.91;0.05;0.04
BU16801909Rolde;0.00;0.82;0.10;0.07
BU16811609Valthermond;0.00;0.88;0.04;0.08
BU16840419Beers buitengebied;0.02;0.89;0.02;0.07
BU16901009Ansen;0.00;0.93;0.01;0.06
BU16960300Oud-Loosdrecht;0.19;0.58;0.11;0.12
BU16960500Breukeleveen;0.11;0.75;0.14;0.00
BU02280402De Bossen;0.14;0.53;0.30;0.03
BU17000307Buurtschap Meer;0.02;0.88;0.02;0.08
BU17010809Havelte;0.02;0.88;0.03;0.07
BU17010909Uffelte;0.00;0.87;0.02;0.11
BU17090900Willemstad;0.13;0.47;0.34;0.07
BU17080809Leeuwte (gedeeltelijk);0.04;0.96;0.00;0.00
BU17090303Industrieterrein Moerdijk;0.07;0.84;0.02;0.07
BU17090309Klundert;0.00;0.88;0.04;0.08
BU17110313Heide;0.01;0.81;0.01;0.17
BU17110103Mariaveld;0.10;0.56;0.33;0.01
BU17110104Middelveld;0.11;0.52;0.31;0.06
BU17110209Dieteren;0.07;0.63;0.30;0.00
BU17110547Buitengebied de Berk;0.11;0.52;0.15;0.22
BU17140701Cadzand-Bad;0.14;0.56;0.14;0.17
BU17190409Lage Zwaluwe;0.00;0.80;0.05;0.14
BU17290509Verspreide huizen;0.04;0.91;0.05;0.00
BU17220109Hallum;0.01;0.92;0.00;0.07
BU17230209Strijbeek;0.00;0.90;0.00;0.10
BU17240001Broekstraat-Hoek-Lijnt-Eijkereind;0.01;0.67;0.02;0.30
BU17240006Kept e.o.;0.15;0.60;0.25;0.00
BU18951009Nieuwolda;0.01;0.92;0.01;0.06
BU17300809Eelderwolde;0.10;0.69;0.10;0.11
BU17310209Hooghalen;0.01;0.90;0.02;0.07
BU17310601Smilde-Noord;0.01;0.83;0.04;0.12
BU17350206Markelerbroek;0.00;0.98;0.00;0.01
BU17400107Echteld;0.01;0.93;0.01;0.05
BU17400008Opheusden;0.01;0.93;0.01;0.05
BU17730728Buitengebied Den Nul;0.02;0.92;0.05;0.01
BU17731233Herxen;0.03;0.89;0.03;0.06
BU17741099Buitengebied Denekamp;0.00;0.91;0.01;0.08
BU17741599Buitengebied Ootmarsum-West;0.02;0.71;0.07;0.20
BU17741699Weerselo;0.00;0.94;0.01;0.05
BU17741899Saasveld;0.00;0.92;0.01;0.06
BU17830521Kust Monster;0.09;0.22;0.09;0.59
BU18420005Negenhuizen en Zouteveen;0.02;0.72;0.12;0.14
BU18590007Geesteren;0.00;0.90;0.03;0.07
BU19041213Antilopespoor;0.18;0.35;0.39;0.07
BU00140812De Kring;0.09;0.59;0.32;0.00
BU18590309Neede;0.01;0.86;0.03;0.10
BU18760103Zelhem;0.01;0.85;0.06;0.08
BU18760207Linde Mossel en Wildenborch;0.00;0.93;0.02;0.05
BU18840109Overige verspreide huizen;0.05;0.87;0.05;0.03
BU18910108Driezum;0.01;0.80;0.15;0.04
BU18920207Recreatiepark De Korenmolen;0.22;0.68;0.10;0.00
BU18960310Streukel-Holten-Genne;0.00;0.86;0.01;0.13
BU18960409Landelijk gebied Zwartsluis;0.00;0.93;0.01;0.06
BU19000202Hindeloopen;0.15;0.56;0.27;0.02
BU19000208Workum;0.13;0.79;0.03;0.05
BU19001503Kornwerderzand;0.00;0.86;0.01;0.12
BU19001809Gaast;NULL;NULL;NULL;NULL
BU19002014Kûbaard;0.00;0.97;0.02;0.01
BU19040101Maarsseveen;0.13;0.52;0.23;0.12
BU19040107Omgeving Goudestein;0.12;0.50;0.38;0.00
BU19040110Centrum ten zuiden van de Vecht;0.13;0.43;0.37;0.07
BU19110408Oeverpolder;0.00;0.95;0.01;0.04
BU19040401Polder Oukoop;0.00;0.98;0.01;0.01
BU19040301Polder Holland;0.05;0.63;0.14;0.18
BU19040302Polder Garsten;0.00;0.99;0.00;0.01
BU19040503Polder Spengen;0.03;0.81;0.10;0.06
BU19040703Tienhoven-Oud Maarsseveen;0.06;0.78;0.07;0.09
BU19040903Polder Sticht;0.01;0.87;0.11;0.01
BU19040905Nieuwersluis;0.07;0.81;0.11;0.00
BU19041201Verbindingswegen;0.02;0.92;0.02;0.05
BU19110405Stroe;0.00;0.99;0.00;0.01
BU19110509Kreileroord;0.00;0.86;0.07;0.07
BU19110702Buitengebied Wieringerwaard;0.00;0.95;0.00;0.04
BU19240204Stellendam haven;0.11;0.80;0.05;0.05
BU19240205Stellendam buitengebied;0.02;0.87;0.02;0.09
BU19240502Den Bommel buitengebied;0.01;0.91;0.01;0.08
BU19241006Sommelsdijk buitengebied;0.04;0.87;0.03;0.06
BU19240705Dirksland buitengebied;0.02;0.88;0.03;0.06
BU19240903Herkingen buitengebied;0.03;0.80;0.01;0.16
BU19241103Nieuwe-Tonge buitengebied;0.02;0.81;0.02;0.15
BU19241202Stad aan 't Haringvliet buitengebied;0.01;0.86;0.02;0.11
BU19270700Wijngaarden;0.03;0.85;0.07;0.05
BU01530403Mekkelholt;0.10;0.47;0.41;0.01
BU19310011Verspr. huizen Lekkerkerk;0.03;0.83;0.10;0.05
BU19311203Zevender;0.02;0.75;0.06;0.18
BU19402401Mirns;0.10;0.81;0.02;0.07
BU19403601Rotstergaast;0.00;0.99;0.01;0.00
BU19403801Rottum;0.02;0.76;0.10;0.12
BU19404901Tjerkgaast;0.01;0.88;0.05;0.06
BU19450102Buitengebied Berg en Dal;0.04;0.75;0.15;0.06
BU19480103Buitengebied Boerdonk;0.00;0.89;0.00;0.11
BU19480204Buitengebied Broekkant;0.01;0.82;0.02;0.14
BU01191202Vogelbuurt;0.07;0.56;0.35;0.01
BU19480221Plein 1;0.13;0.47;0.37;0.03
BU19480306Buitengebied Olland;0.00;0.91;0.00;0.09
BU19490408Oosterbierum - Verspreide huizen;0.01;0.95;0.00;0.03
BU19490609Tzum - Verspreide huizen;0.00;0.95;0.01;0.05
BU19490607Achlum - Verspreide huizen;0.00;0.88;0.01;0.10
BU19491109Dronryp - Verspreide huizen;0.01;0.94;0.01;0.05
BU19500409Vlagtwedde;0.01;0.79;0.06;0.14
BU19500403Veele;0.01;0.91;0.04;0.04
BU00050006Noordwolde;0.04;0.76;0.20;0.00
BU08260505Paterserf;0.12;0.55;0.28;0.05
BU19520501Kiel-Windeweer;0.01;0.94;0.03;0.02
BU00100305Krewerd;0.02;0.87;0.11;0.00
BU00100309Bierum;0.00;0.90;0.07;0.04
BU00100205Wagenborgen;0.08;0.68;0.22;0.02
BU19521602Overschild Buitengebied;0.01;0.92;0.01;0.06
BU19521702Steendam;0.09;0.73;0.08;0.10
BU00140008Stationsgebied;0.06;0.42;0.39;0.14
BU00090001Garmerwolde;0.05;0.77;0.13;0.06
BU00140101Oosterpoort;0.10;0.45;0.41;0.04
BU19550008Braamt;0.06;0.81;0.01;0.12
BU00140102Herewegbuurt;0.09;0.51;0.34;0.06
BU00140103Rivierenbuurt;0.09;0.50;0.36;0.05
BU00090002Thesinge;0.10;0.74;0.15;0.01
BU00030000Appingedam-Centrum;0.13;0.53;0.32;0.02
BU00090003Sint-Annen;0.02;0.86;0.02;0.10
BU00340204Parkwijk;0.13;0.39;0.37;0.11
BU00340205Verzetswijk;0.14;0.40;0.37;0.10
BU00030001Appingedam-West;0.04;0.66;0.25;0.05
BU00050000Bedum;0.14;0.55;0.29;0.02
BU00050002Zuidwolde;0.09;0.69;0.15;0.07
BU00141105Het Witte Lam;0.00;0.90;0.06;0.04
BU00340212Muziekwijk Noord;0.14;0.46;0.34;0.06
BU00030002Appingedam-Oost;0.12;0.58;0.24;0.06
BU00090000Ten Boer;0.10;0.57;0.28;0.05
BU00100303Godlinze;0.05;0.79;0.16;0.00
BU00050001Bedum;0.01;0.84;0.04;0.11
BU00340206Waterwijk;0.13;0.41;0.38;0.08
BU00090106Lellens;0.05;0.88;0.08;0.00
BU00030007Damsterdiep en Eemskanaal;0.02;0.71;0.25;0.01
BU00050004Onderdendam;0.05;0.65;0.24;0.06
BU00560201Niehove;0.01;0.84;0.14;0.01
BU00050007Noordwolde;0.02;0.85;0.04;0.09
BU00340207Tussen de Vaarten Noord;0.14;0.48;0.28;0.10
BU00340208Tussen de Vaarten Zuid;0.13;0.48;0.33;0.07
BU00090005Achter-Thesinge en Bovenrijge;0.00;0.92;0.02;0.06
BU00090009ten noorden van het Eemskanaal;0.02;0.81;0.03;0.14
BU00030008ten zuiden van Eemskanaal;0.00;0.85;0.11;0.04
BU00030009ten noorden van het Damsterdiep;0.01;0.85;0.12;0.02
BU00100301Spijk;0.03;0.71;0.22;0.03
BU00090100Ten Post;0.05;0.73;0.17;0.06
BU00050005Onderdendam;0.00;0.82;0.09;0.09
BU00090101Winneweer (gedeeltelijk);0.06;0.94;0.00;0.00
BU00090102Woltersum;0.07;0.82;0.12;0.00
BU00050003Zuidwolde;0.03;0.81;0.02;0.14
BU00090104Wittewierum;0.00;0.93;0.03;0.03
BU00090109ten noorden van het Eemskanaal;0.01;0.93;0.00;0.05
BU00100000Delfzijl-Centrum;0.15;0.46;0.36;0.03
BU00100001Farmsum;0.11;0.65;0.17;0.07
BU00100005Tuikwerd;0.07;0.53;0.24;0.16
BU00100103Meedhuizen;0.07;0.75;0.18;0.00
BU00100104Uitwierde;0.06;0.79;0.12;0.02
BU00140100De Meeuwen;0.06;0.55;0.34;0.05
BU00100002Delfzijl-Noord;0.14;0.48;0.31;0.07
BU00100003Delfzijl-West;0.10;0.55;0.29;0.07
BU00140005Hortusbuurt-Ebbingekwartier;0.06;0.37;0.52;0.06
BU00140104Grunobuurt;0.11;0.51;0.34;0.05
BU04410407Callantsoog;0.04;0.76;0.13;0.06
BU00100004Fivelzigt;0.07;0.52;0.25;0.16
BU00100302Holwierde;0.08;0.66;0.22;0.03
BU00100200Woldendorp;0.10;0.66;0.24;0.00
BU00140007UMCG;0.03;0.52;0.30;0.15
BU00100202Termunterzijl;0.13;0.62;0.25;0.00
BU00340209Staatsliedenwijk;0.21;0.34;0.37;0.08
BU00100203Borgsweer;0.02;0.71;0.25;0.01
BU00100107Eemskanaal (ten zuiden);0.03;0.87;0.08;0.02
BU00100108Industrieterrein;0.13;0.77;0.03;0.07
BU00100201Termunten;0.05;0.73;0.20;0.01
BU00340210Kruidenwijk;0.12;0.45;0.32;0.11
BU00100304Losdorp;0.03;0.72;0.19;0.07
BU00100109in het noorden;0.04;0.57;0.07;0.32
BU00140001Binnenstad-Zuid;0.06;0.30;0.59;0.04
BU00140002Binnenstad-Oost;0.09;0.42;0.45;0.03
BU00140003Binnenstad-West;0.05;0.36;0.57;0.02
BU00140004Noorderplantsoen;0.04;0.35;0.38;0.24
BU00560109Grijpskerk;0.02;0.84;0.03;0.11
BU00100207Wagenborgen;0.02;0.83;0.08;0.07
BU00100209Termunten;0.02;0.86;0.07;0.05
BU00100300Bierum;0.02;0.72;0.25;0.02
BU00140000Binnenstad-Noord;0.10;0.28;0.62;0.00
BU00140105Badstratenbuurt;0.10;0.37;0.44;0.09
BU00140106Zeeheldenbuurt;0.07;0.55;0.30;0.07
BU00140107Laanhuizen;0.09;0.54;0.32;0.06
BU00140108Stadspark;0.05;0.60;0.29;0.06
BU00140109Martini Trade Park;0.03;0.72;0.17;0.08
BU00140200Oranjebuurt;0.07;0.42;0.44;0.08
BU00340211Stedenwijk;0.14;0.31;0.44;0.11
BU00140201Noorderplantsoenbuurt;0.08;0.44;0.46;0.02
BU00140202Schildersbuurt;0.08;0.46;0.42;0.05
BU00140203Kostverloren;0.04;0.50;0.42;0.04
BU00140300De Hoogte;0.10;0.51;0.34;0.04
BU00140301Indische buurt;0.10;0.40;0.45;0.05
BU00140302Professorenbuurt;0.11;0.43;0.41;0.06
BU00140400Gorechtbuurt;0.09;0.43;0.44;0.04
BU00140401Vogelbuurt;0.12;0.44;0.43;0.01
BU00140402Bloemenbuurt;0.14;0.39;0.45;0.02
BU00140403Florabuurt;0.07;0.44;0.45;0.04
BU00140404Damsterbuurt;0.08;0.55;0.26;0.10
BU00140500De Linie;0.04;0.65;0.28;0.03
BU00140501Europapark;0.04;0.49;0.39;0.09
BU19300702Groenewoud-Huur;0.04;0.39;0.57;0.00
BU00140502Eemskanaal;0.12;0.71;0.10;0.07
BU00140503Kop van Oost;0.12;0.57;0.24;0.07
BU00140504Woonschepenhaven;0.11;0.68;0.12;0.09
BU00140505Driebond;0.01;0.86;0.09;0.04
BU00140506Eemspoort;0.01;0.83;0.07;0.09
BU00140507Euvelgunne;0.02;0.83;0.09;0.06
BU00140703Van Swieten;0.01;0.54;0.28;0.16
BU00140601Coendersborg;0.06;0.46;0.45;0.03
BU04410408Sint Maartensvlotbrug;0.11;0.70;0.13;0.05
BU00140508Winschoterdiep;0.06;0.73;0.11;0.09
BU00140509Stainkoel'n;0.01;0.85;0.01;0.13
BU00140900Vinkhuizen-Noord;0.11;0.44;0.40;0.05
BU00140602Klein Martijn;0.03;0.63;0.23;0.11
BU00140809Bangeweer;0.02;0.60;0.12;0.26
BU00140510Roodehaan;0.00;0.94;0.02;0.04
BU00140511Waterhuizen;NULL;NULL;NULL;NULL
BU00140600Sterrebosbuurt;0.08;0.53;0.24;0.15
BU16900809Ruinen;0.00;0.88;0.02;0.10
BU00140902Hoendiep;0.07;0.72;0.16;0.05
BU00140603Villabuurt;0.01;0.54;0.38;0.07
BU00140604Helpman;0.07;0.50;0.42;0.02
BU00140605De Wijert;0.07;0.46;0.43;0.03
BU00141001Paddepoel-Zuid;0.11;0.42;0.39;0.07
BU00140606De Wijert-Zuid;0.08;0.61;0.25;0.05
BU00141002Paddepoel-Noord;0.11;0.45;0.38;0.06
BU00140700Corpus den Hoorn;0.11;0.50;0.31;0.08
BU00140810De Buitenhof;0.04;0.63;0.27;0.06
BU00140701Hoornse Meer;0.11;0.43;0.36;0.10
BU00140702Hoornse Park;0.00;0.64;0.29;0.07
BU00141211Ruischerwaard;0.11;0.47;0.28;0.14
BU00340213Muziekwijk Zuid;0.15;0.41;0.36;0.08
BU00340214Literatuurwijk;0.14;0.48;0.34;0.04
BU00140903Friesestraatweg;0.01;0.75;0.21;0.03
BU00140802Westpoort;0.00;0.88;0.03;0.09
BU00240203Toornwerd;0.02;0.74;0.24;0.00
BU00140804Zuidwending;0.00;0.94;0.01;0.05
BU00240209Middelstum;0.01;0.84;0.12;0.03
BU00140904Reitdiep;0.08;0.66;0.20;0.06
BU00141206Zilvermeer;0.00;0.59;0.23;0.19
BU00140704Piccardthof;0.01;0.81;0.10;0.09
BU00140705Bruilweering;0.05;0.83;0.01;0.11
BU00140901Vinkhuizen-Zuid;0.12;0.42;0.41;0.05
BU00140800Hoogkerk Dorp;0.06;0.63;0.27;0.04
BU17350207Stokkum;0.01;0.87;0.03;0.09
BU00140801Hoogkerk-Zuid;0.08;0.66;0.20;0.07
BU00140808Peizerweg;0.01;0.76;0.12;0.12
BU00240300't Zandt;0.11;0.54;0.33;0.02
BU00340309Regenboogbuurt;0.14;0.41;0.35;0.10
BU00140807Suikerfabriekterrein;0.01;0.92;0.02;0.04
BU00140803Vierverlaten;0.02;0.75;0.04;0.19
BU00340215Noorderplassen;0.14;0.52;0.24;0.11
BU00140811Kranenburg;0.09;0.79;0.05;0.06
BU00140805Leegkerk;0.03;0.78;0.01;0.18
BU00140806Gravenburg;0.00;0.59;0.25;0.15
BU02035780Buitengebied Garderen;0.04;0.82;0.04;0.10
BU00141104Noorderhoogebrug;0.02;0.85;0.06;0.07
BU00340310Indischebuurt;0.17;0.37;0.36;0.11
BU00140907Westpark;0.00;0.50;0.18;0.31
BU00140905Dorkwerd;0.00;0.83;0.04;0.13
BU00140906De Held;0.10;0.45;0.36;0.09
BU00141000Selwerd;0.05;0.45;0.42;0.07
BU00141003Zernike Campus;0.20;0.55;0.13;0.12
BU00141004Selwerderhof;0.03;0.32;0.60;0.05
BU00141005Tuinwijk;0.10;0.37;0.51;0.02
BU00141100Beijum-West;0.13;0.53;0.26;0.09
BU00141101Beijum-Oost;0.14;0.44;0.34;0.08
BU00530203Tinallinge;0.01;0.85;0.09;0.06
BU00530204Saaxumhuizen;0.00;1.00;0.00;0.00
BU00141102De Hunze;0.05;0.61;0.30;0.04
BU00141103Van Starkenborgh;0.05;0.60;0.30;0.04
BU00340311Eilandenbuurt;0.17;0.43;0.35;0.05
BU00150002Sebaldeburen;0.04;0.69;0.10;0.16
BU00141107Hunzeboord;0.01;0.58;0.16;0.25
BU00141200Lewenborg-Noord;0.17;0.40;0.39;0.04
BU00141201Lewenborg-Zuid;0.14;0.40;0.38;0.09
BU00220600Bebouwde kom Oostwold;0.06;0.63;0.28;0.03
BU00141106Koningslaagte;0.01;0.88;0.00;0.11
BU00340312Stripheldenbuurt;0.13;0.49;0.29;0.09
BU00340313Sieradenbuurt;0.07;0.58;0.22;0.13
